steamid,wave
76561199085773822, 88.76
76561199218567687, 88.75
76561198853378233, 88.73
76561199574929119, 88.71
76561198992050065, 88.71
76561199004293818, 88.67
76561198824158570, 88.64
76561199124179345, 88.60
76561199215656601, 88.58
76561198218972939, 88.58
76561199199801085, 88.54
76561199573613136, 88.52
76561198798337844, 88.51
76561198404509645, 88.41
76561198987611890, 88.41
76561198982897614, 88.39
76561199362785332, 88.34
76561199317766495, 88.20
76561199729268920, 88.14
76561199481372321, 88.11
76561198809876664, 88.04
76561199597843620, 88.00
76561198211540747, 87.94
76561199438499788, 87.90
76561198313810950, 87.85
76561199503836648, 87.83
76561199378741970, 87.80
76561198191801989, 87.78
76561197979173683, 87.78
76561198976902615, 87.72
76561198956796083, 87.69
76561198279239724, 87.69
76561198830947403, 87.68
76561198169904657, 87.67
76561198145508784, 87.65
76561198391722910, 87.65
76561198370960159, 87.63
76561199097939116, 87.62
76561198044686915, 87.61
76561199824623753, 87.58
76561199632539445, 87.57
76561198085047436, 87.55
76561199455127563, 87.34
76561199103206849, 87.23
76561198901357841, 87.23
76561198128273047, 87.20
76561199754166141, 87.11
76561199021413155, 87.11
76561199082853037, 87.11
76561198372691283, 87.10
76561199297387005, 87.10
76561199058245370, 87.10
76561199217988293, 86.85
76561199201855454, 86.85
76561199435555535, 86.83
76561199081420133, 86.81
76561198805899744, 86.79
76561199117243922, 86.79
76561199482535234, 86.75
76561199590922500, 86.74
76561199276234766, 86.65
76561199229407420, 86.46
76561198162642931, 86.46
76561199105199455, 86.36
76561199103809741, 86.35
76561199116768891, 86.33
76561198353017382, 86.26
76561199653524649, 86.25
76561199775496023, 86.22
76561199117081276, 86.18
76561198947366981, 86.16
76561199082983184, 86.15
76561199589032832, 86.11
76561198853511788, 86.11
76561199479732565, 86.10
76561199486424051, 85.93
76561197971136022, 85.89
76561199185918457, 85.81
76561199588468405, 85.81
76561198060053737, 85.80
76561198404696440, 85.79
76561199757515832, 85.77
76561199147733033, 85.71
76561198205347421, 85.68
76561198351169199, 85.57
76561198262867471, 85.54
76561198977227202, 85.53
76561198859233775, 85.50
76561199131404991, 85.48
76561199238340224, 85.47
76561198203687837, 85.46
76561199805451818, 85.39
76561198821110960, 85.38
76561198306382973, 85.38
76561199824795936, 85.37
76561199748764883, 85.29
76561198401644232, 85.28
76561199033728208, 85.23
76561199126678966, 85.22
76561198392386112, 85.14
76561198159937193, 85.13
76561198888922161, 85.12
76561199078957864, 85.08
76561198328944845, 85.08
76561199464686334, 85.00
76561198095565820, 85.00
76561199805589023, 84.97
76561199471943188, 84.89
76561199350993778, 84.86
76561199191690320, 84.85
76561198800907538, 84.82
76561199100601679, 84.81
76561198873389975, 84.81
76561199011478323, 84.80
76561199103830171, 84.79
76561198073021031, 84.71
76561198964419769, 84.68
76561198346672873, 84.65
