steamid,wave
76561199186057473, 77.50
76561198085641889, 77.50
76561198838698208, 77.48
76561199172956913, 77.47
76561198835553429, 77.43
76561198025354465, 77.41
76561199376986460, 77.38
76561199233070158, 77.38
76561199217484299, 77.38
76561198369670255, 77.37
76561198935338296, 77.32
76561198146253982, 77.30
76561199058877626, 77.28
76561198334791309, 77.28
76561199247539679, 77.18
76561199123854254, 77.00
76561198129604582, 77.00
76561199069175406, 76.97
76561198431229380, 76.89
76561198100701419, 76.85
76561198399099425, 76.84
76561198106164401, 76.82
76561198353224658, 76.81
76561199171473631, 76.80
76561198070674260, 76.76
76561198360026825, 76.74
76561199090312317, 76.71
76561199576702025, 76.65
76561199014195635, 76.65
76561199169572975, 76.63
76561199114840957, 76.60
76561199367741769, 76.58
76561198868867526, 76.57
76561199050636652, 76.55
76561198451009207, 76.52
76561199503331074, 76.48
76561198275217243, 76.47
76561198996615077, 76.43
76561198173250374, 76.40
76561199078468679, 76.39
76561198167037351, 76.36
76561198084612112, 76.35
76561198961456618, 76.35
76561199141013253, 76.34
76561199032732303, 76.32
76561198335058194, 76.31
76561199220524341, 76.30
76561199379332561, 76.28
76561198328757938, 76.28
76561199115847794, 76.27
76561199224709860, 76.27
76561198080684621, 76.24
76561199125719938, 76.17
76561199051050031, 76.13
76561198293980124, 76.11
76561198303284016, 76.08
76561199589085083, 76.00
76561199083830501, 76.00
76561198159937193, 76.00
76561198824510164, 75.95
76561198813352847, 75.92
76561198205823991, 75.88
76561198348544245, 75.82
76561198799314594, 75.75
76561198358190569, 75.75
76561199438548545, 75.69
76561199083781543, 75.65
76561199217559476, 75.62
76561198438465184, 75.61
76561198021652160, 75.61
76561199213877829, 75.58
76561199128918232, 75.57
76561198958493901, 75.57
76561198172675226, 75.55
76561198114228452, 75.48
76561198885309352, 75.46
76561199197672347, 75.45
76561199099379590, 75.44
76561198131630111, 75.44
76561199089750002, 75.43
76561198868408739, 75.38
76561198162043148, 75.32
76561199164308915, 75.29
76561199088405438, 75.24
76561198882650015, 75.21
76561198105341367, 75.20
76561199627359821, 75.19
76561199158206741, 75.15
76561198061281162, 75.15
76561199072737343, 75.07
76561199500667765, 75.00
76561199089559050, 75.00
76561198814656635, 75.00
76561198844300111, 74.87
76561199517045647, 74.85
76561198136963595, 74.85
76561198301473912, 74.80
76561199179478093, 74.79
76561198373782389, 74.78
76561199022037505, 74.75
76561199035726962, 74.74
76561198146782074, 74.70
76561199036367683, 74.70
76561199116110245, 74.70
76561199390412707, 74.69
76561198981462228, 74.69
76561198063898878, 74.68
76561198167310492, 74.67
76561198090574795, 74.67
76561199237584327, 74.63
76561198339521466, 74.61
76561198969343016, 74.60
76561198393657798, 74.60
76561199073082081, 74.59
76561198123888436, 74.58
76561199223269119, 74.55
76561199112823298, 74.54
76561198074500319, 74.52
76561199075735880, 74.52
76561198422185635, 74.48
76561198098110213, 74.45
76561198211540747, 74.45
76561198053444278, 74.41
76561198127090662, 74.39
76561199163275168, 74.38
76561198850527883, 74.36
