steamid,wave
76561198151158663, 94.61
76561198176872379, 94.60
76561199376986460, 94.55
76561198941157072, 94.50
76561198247160272, 94.47
76561199230070166, 94.45
76561198274638229, 94.43
76561199229358731, 94.41
76561198412638125, 94.40
76561199580182603, 94.36
76561199317596275, 94.36
76561198164000601, 94.33
76561199184039393, 94.16
76561198006968811, 93.86
76561199362990034, 93.86
76561199122279423, 93.82
76561199345854734, 93.79
76561198414192205, 93.77
76561198951442463, 93.74
76561199089768431, 93.73
76561199032732303, 93.69
76561199220419171, 93.61
76561199530102403, 93.60
76561198981897135, 93.57
76561199088531079, 93.54
76561199465506872, 93.50
76561199381129380, 93.50
76561199265087343, 93.48
76561198137750898, 93.47
76561199544406089, 93.44
76561199183517578, 93.43
76561198383578864, 93.42
76561198084612112, 93.27
76561198977988476, 93.27
76561199474067269, 93.20
76561198438416041, 93.12
76561199227447034, 93.00
76561199068361681, 93.00
76561198719910518, 92.80
76561198251117926, 92.80
76561199380024399, 92.77
76561198820308559, 92.75
76561198218210915, 92.72
76561199122185408, 92.72
76561198886325592, 92.69
76561199572510555, 92.69
76561199547698320, 92.65
76561198108717625, 92.63
76561198021652160, 92.60
76561198865463706, 92.56
76561199049468295, 92.54
76561199376384903, 92.47
76561198796129238, 92.45
76561199224279527, 92.43
76561198136199368, 92.41
76561198080684621, 92.40
76561198975896349, 92.29
76561198009127548, 92.22
76561198334038287, 92.21
76561198759053546, 92.01
76561198818394443, 91.97
76561199042982072, 91.88
76561199465779179, 91.80
76561198819025444, 91.80
76561198875258383, 91.76
76561199115847794, 91.76
76561198283895225, 91.76
76561198387437278, 91.73
76561198307058138, 91.70
76561198426307130, 91.62
76561199509505949, 91.62
76561198943456238, 91.61
76561199018554139, 91.60
76561198125957436, 91.60
76561198306956707, 91.54
76561198701879512, 91.50
76561198766077512, 91.47
76561199257177059, 91.41
76561198791197879, 91.40
76561198951121878, 91.31
76561198793505525, 91.29
76561199423554004, 91.29
76561198867897841, 91.29
76561198195564234, 91.28
76561198835688708, 91.27
76561199556685849, 91.25
76561198815307681, 91.25
76561199203676622, 91.15
76561198294940342, 91.13
76561199572905196, 91.00
76561199479065430, 91.00
76561198952942615, 91.00
76561199090312317, 90.80
76561198334901758, 90.79
76561199644213854, 90.78
76561199576230811, 90.77
76561199782083633, 90.73
76561198940812713, 90.72
76561199075735880, 90.70
76561198843984998, 90.67
76561199168944741, 90.64
76561198167037351, 90.61
76561198070029444, 90.60
76561198272683474, 90.57
76561199500957673, 90.54
76561198181603299, 90.52
76561198173250374, 90.52
76561198095863804, 90.46
76561199784614112, 90.45
76561198169594771, 90.44
76561199204257573, 90.43
76561199807294299, 90.43
76561199250366027, 90.41
76561198060828240, 90.37
76561198146309367, 90.36
76561199178596424, 90.33
76561199212822839, 90.31
76561199206033568, 90.31
76561199473301920, 90.27
76561198156800784, 90.26
76561199434429547, 90.23
76561199129362537, 90.15
76561198105142530, 90.00
76561199442544953, 89.98
76561199638274354, 89.90
76561199442103789, 89.90
76561199530678044, 89.89
76561198969301058, 89.86
76561199836329695, 89.86
76561198150321078, 89.85
76561199487080563, 89.84
76561198028003922, 89.84
76561199080833121, 89.83
76561199020787099, 89.70
76561198083218151, 89.69
76561198821605175, 89.68
76561199818167407, 89.67
76561199454533714, 89.66
76561198262867471, 89.65
76561198069701315, 89.61
76561198828196145, 89.52
76561198040185482, 89.45
76561199485040209, 89.45
76561199376603451, 89.36
76561198027293620, 89.34
76561199074678361, 89.33
76561198374612277, 89.31
76561199179478093, 89.30
76561199053274582, 89.29
76561199875905691, 89.22
76561199587051194, 89.21
76561199008439215, 89.18
76561198430627577, 88.97
76561198838697964, 88.94
76561199230189871, 88.93
76561198802712136, 88.88
76561199063459773, 88.87
76561199248110461, 88.86
76561198895043332, 88.77
76561198070961430, 88.76
76561199236886024, 88.76
76561199058611754, 88.75
76561199032012719, 88.75
76561199218567687, 88.69
76561199471199430, 88.68
76561199849003887, 88.67
76561199183029764, 88.67
76561199093119285, 88.59
76561199518556894, 88.59
76561199018899962, 88.57
76561198018302579, 88.56
76561198401323628, 88.53
76561198063898878, 88.52
76561198114676268, 88.50
76561198283943637, 88.46
76561199144455735, 88.45
76561199273331671, 88.44
76561198856723977, 88.44
76561199403835698, 88.41
76561199057542771, 88.39
76561198355819006, 88.38
76561199686354632, 88.36
76561199641090190, 88.36
76561198929408431, 88.30
76561199197224542, 88.27
76561199189099635, 88.24
76561198113572084, 88.21
76561199130276188, 88.18
76561198390663903, 88.16
76561199084487039, 88.15
76561199100662572, 88.14
76561198247998124, 88.13
76561199197514384, 88.00
76561199236429557, 87.93
76561199472692705, 87.93
76561199302586258, 87.89
76561198995176055, 87.84
76561199406382716, 87.80
76561198322689629, 87.79
76561199164877424, 87.77
76561198066220846, 87.71
76561199079930559, 87.67
76561199177891801, 87.62
76561198796412459, 87.62
76561199229555729, 87.59
76561198426782354, 87.57
76561198383565029, 87.57
76561199667560556, 87.50
76561198989332967, 87.50
76561199510377573, 87.48
76561198287781313, 87.45
76561199456026449, 87.43
76561199238712659, 87.42
76561198053374231, 87.41
76561199187281012, 87.40
76561198977279159, 87.38
76561198197553337, 87.36
76561198315166824, 87.34
76561199281799588, 87.31
76561198998323695, 87.31
76561198406217190, 87.28
76561198420251088, 87.27
76561199653336345, 87.25
76561198391674727, 87.21
76561199130864873, 87.18
76561198931083122, 87.13
76561199139972322, 87.03
76561199582637803, 87.00
76561198241246142, 86.92
76561198166748291, 86.92
76561199401644633, 86.91
76561199804681525, 86.89
76561199032502583, 86.87
76561199422608475, 86.84
76561198967107721, 86.83
76561198391722910, 86.81
76561198275995814, 86.77
76561199468045641, 86.75
76561199082587638, 86.74
76561199112451033, 86.70
76561198406070173, 86.69
76561199136503790, 86.68
